group,date,sender,username,keywords,link,text
Испания | Для Своих | Чат,2026-03-20 17:02,😈,Gcat8,испанский,https://t.me/spain_chatss/128018,Снимем дом /бунгало на длительный срок . До 1500€ Бенидорм /пригород/пригороды Аликанте и торревьехи/главное что бы море рядом было .постоянный хороший доход/рабочий контракт но не испанский .
Испания Барселона Чат,2026-03-23 15:57,TeronaX,TeronaX,репетитор,https://t.me/spain_granitsa/210598,"Добрый день, ищу себе репетитора по испанскому языку. Могу изучать онлайн/офлайн (Барселона)"
"Аліканте, Amigos de Ucrania asociación Alicante",2026-03-23 09:44,Aleksandr лайф,mastealikante,испанский,https://t.me/amigosalicanteucrania/142110,"Добрый день. Мне нужна доставка по Аликанте с Абрамата к Plaza del Toros примерно , нужна на 12.00 . Нужно привезти шесть листов гипсокартона 2.5×1.2 , 10 трехметровых профилей, дверь межкомнатную, ну и кое-что по мелочи. Нужно это загрузить в вашу машину привезти на адрес и поднять на первый испанс"
"Аліканте, Amigos de Ucrania asociación Alicante",2026-03-19 16:37,"Tatiana SANITAS, МЕДИЦИНА , СТРАХОВКИ https://t.me/tatianasegurosanitas",Sanitasseguros,испанский,https://t.me/amigosalicanteucrania/141755,"К сожалению нет такого.  Есть терапевты или семейный врач, который может дать направление на гормоны  Если именно нужен эндокринолог то тогда это испанский врач , многие говорят на английском"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-24 14:55,Максим Топников,maksim56890,"Испанский, испанский",https://t.me/costablanca_es/171953,"Привет! Меня зовут Максим Я студент Университета Аликанте, живу и учусь в испанской среде, свободно владею испанским языком и также преподаю английский для начального и среднего уровня.  Моя цель - не просто объяснять правила, а помочь вам начать говорить свободно и уверенно.  🇪🇸 Испанский язык 🔹 Ра"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-24 11:46,,,Español,https://t.me/costablanca_es/171919,"📍Barredos Asturias (Pola de Laviana)  🇪🇸 Leer en Español 📸 Fotos  Продается квартира в отличном месте, в центре городка Barredos на 3 этаже трех этажного кирпичного дома.  Квартира состоит из 3х спален, просторной кухни гостинной, и балкона.  ❤️Характеристики: 🏢 3 этаж 📐 Площадь: 62 м² 🛏️ 3 спальни "
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-24 09:39,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171910,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-23 09:52,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171748,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-21 15:16,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171645,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-20 14:05,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171575,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
